tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_pall
11001002201,Northwest Washington, Washington, DC,0.0153
11001009302,Brookland, Washington, DC,0.0139
11001004202,Northwest Washington, Washington, DC,0.0126
11001000902,Northwest Washington, Washington, DC,0.0118
11001010200,Southwest Washington, Washington, DC,0.0112
11001002802,Columbia Heights, Washington, DC,0.0101
11001005600,Northwest Washington, Washington, DC,0.0093
11001005001,Logan Circle, Washington, DC,0.0092
11001006600,Capitol Hill, Washington, DC,0.0084
11001001600,Northwest Washington, Washington, DC,0.0077
11001008301,Northeast Washington, Washington, DC,0.0074
11001000501,Northwest Washington, Washington, DC,0.0072
11001006500,Southeast Washington, Washington, DC,0.0069
11001001401,Northwest Washington, Washington, DC,0.0067
11001001302,Forest Hills, Washington, DC,0.0067
11001001402,Northwest Washington, Washington, DC,0.0067
11001007301,Southwest Washington, Washington, DC,0.0063
11001000100,Georgetown, Washington, DC,0.0052
11001002600,Northwest Washington, Washington, DC,0.005
11001010100,Downtown, Washington, DC,0.004
11001000400,Naval Observatory, Washington, DC,0.0039
11001005301,Northwest Washington, Washington, DC,0.0039
11001000502,Northwest Washington, Washington, DC,0.0037
11001000702,Northwest Washington, Washington, DC,0.003
11001004001,Adams Morgan, Washington, DC,0.0025
11001004100,Northwest Washington, Washington, DC,0.0025
11001001002,Cathedral Heights, Washington, DC,0.0024
11001002701,Northwest Washington, Washington, DC,0.0023
11001005500,Northwest Washington, Washington, DC,0.0022
11001003900,Lanier Heights, Washington, DC,0.0011
11001000202,Georgetown, Washington, DC,0.0007
11001001100,Northwest Washington, Washington, DC,0.0006
11001007000,Southeast Washington, Washington, DC,0.0005
11001001001,American University Park, Washington, DC,0.0005
11001000901,Northwest Washington, Washington, DC,0.0005
11001000801,Northwest Washington, Washington, DC,0.0004
11001001301,Northwest Washington, Washington, DC,0.0004
11001000600,Northwest Washington, Washington, DC,0.0003
11001010800,Northwest Washington, Washington, DC,0.0002
11001008200,Northeast Washington, Washington, DC,0.0001
11001001200,Northwest Washington, Washington, DC,0
11001000300,Northwest Washington, Washington, DC,0
11001005800,Northwest Washington, Washington, DC,0
11001001500,Northwest Washington, Washington, DC,0
11001000701,Cathedral Heights, Washington, DC,0
11001004002,Adams Morgan, Washington, DC,0
