tract,Neighborhood,City ,State,Incarceration_Rate_rP_gP_p25
11001010200,Southwest Washington, Washington, DC,0.0253
11001001803,Brightwood, Washington, DC,0.0228
11001005002,Downtown, Washington, DC,0.0225
11001009302,Brookland, Washington, DC,0.0214
11001008301,Northeast Washington, Washington, DC,0.0213
11001001302,Forest Hills, Washington, DC,0.0211
11001007301,Southwest Washington, Washington, DC,0.0203
11001004202,Northwest Washington, Washington, DC,0.0195
11001000400,Naval Observatory, Washington, DC,0.0193
11001002400,Northwest Washington, Washington, DC,0.0188
11001010800,Northwest Washington, Washington, DC,0.0175
11001002702,Mount Pleasant, Washington, DC,0.017
11001002001,16th Street Heights, Washington, DC,0.0161
11001005001,Logan Circle, Washington, DC,0.0153
11001001100,Northwest Washington, Washington, DC,0.015
11001000701,Cathedral Heights, Washington, DC,0.0148
11001000702,Northwest Washington, Washington, DC,0.0142
11001001902,Manor Park, Washington, DC,0.0139
11001002801,Columbia Heights, Washington, DC,0.0139
11001004902,Downtown, Washington, DC,0.0136
11001002201,Northwest Washington, Washington, DC,0.0129
11001002802,Columbia Heights, Washington, DC,0.0126
11001000901,Northwest Washington, Washington, DC,0.0119
11001010100,Downtown, Washington, DC,0.0109
11001000502,Northwest Washington, Washington, DC,0.0097
11001002701,Northwest Washington, Washington, DC,0.0083
11001001600,Northwest Washington, Washington, DC,0.0082
11001001002,Cathedral Heights, Washington, DC,0.0078
11001003900,Lanier Heights, Washington, DC,0.0073
11001000100,Georgetown, Washington, DC,0.0072
11001000801,Northwest Washington, Washington, DC,0.0051
11001000300,Northwest Washington, Washington, DC,0.004
11001000600,Northwest Washington, Washington, DC,0.0038
11001001401,Northwest Washington, Washington, DC,0.0037
11001001001,American University Park, Washington, DC,0.0029
11001004100,Northwest Washington, Washington, DC,0.0026
11001005800,Northwest Washington, Washington, DC,0.0024
11001005301,Northwest Washington, Washington, DC,0.0013
11001000202,Georgetown, Washington, DC,0.0005
11001001500,Northwest Washington, Washington, DC,0.0004
11001005500,Northwest Washington, Washington, DC,0
11001001200,Northwest Washington, Washington, DC,0
11001007000,Southeast Washington, Washington, DC,0
11001000802,Northwest Washington, Washington, DC,0
11001004001,Adams Morgan, Washington, DC,0
11001004002,Adams Morgan, Washington, DC,0
11001008200,Northeast Washington, Washington, DC,0
