tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_p75
24510120500,Greenmount West, Baltimore, MD,0.1486
24510180100,Poppleton, Baltimore, MD,0.1271
24510070400,Gay Street, Baltimore, MD,0.1066
24510070200,Madison - Eastend, Baltimore, MD,0.1028
24510170300,Upton, Baltimore, MD,0.0954
24510200400,Shipley Hill, Baltimore, MD,0.0931
24510130100,Reservoir Hill, Baltimore, MD,0.0852
24510160100,Harlem Park, Baltimore, MD,0.0841
24510080800,Broadway East, Baltimore, MD,0.0812
24510160200,Sandtown-Winchester, Baltimore, MD,0.0782
24510080400,Broadway East, Baltimore, MD,0.0763
24510160801,Edmondson, Baltimore, MD,0.075
24510150300,Coppin Heights, Baltimore, MD,0.0691
24510160700,Rosemont, Baltimore, MD,0.0666
24510190100,Franklin Square, Baltimore, MD,0.0653
24510200800,Irvington, Baltimore, MD,0.0639
24510260604,O'Donnell Heights, Baltimore, MD,0.0578
24510080700,Broadway East, Baltimore, MD,0.0574
24510200702,Saint Joseph's, Baltimore, MD,0.0563
24510090800,East Baltimore Midway, Baltimore, MD,0.0549
24510151300,Central Park Heights, Baltimore, MD,0.0526
24510140300,Druid Heights, Baltimore, MD,0.051
24510110100,Downtown, Baltimore, MD,0.0501
24510160802,Edmondson, Baltimore, MD,0.0501
24510200200,Lexington, Baltimore, MD,0.0498
24510260402,Frankford, Baltimore, MD,0.0496
24510170100,Downtown, Baltimore, MD,0.048
24510060300,Butchers Hill, Baltimore, MD,0.0478
24510130300,Penn North, Baltimore, MD,0.0476
24510200300,Bentalou-Smallwood, Baltimore, MD,0.0472
24510271700,Central Park Heights, Baltimore, MD,0.0452
24510100100,Johnson Square, Baltimore, MD,0.0429
24510150100,Sandtown-Winchester, Baltimore, MD,0.0429
24510260202,Parkside, Baltimore, MD,0.0427
24510260301,Belair - Edison, Baltimore, MD,0.0411
24510170200,McCulloh Homes, Baltimore, MD,0.0409
24510280301,Gwynn Oak, Baltimore, MD,0.039
24510260203,Frankford, Baltimore, MD,0.0373
24510240300,Riverside, Baltimore, MD,0.037
24510270903,Hillen, Baltimore, MD,0.0366
24510140200,Upton, Baltimore, MD,0.0363
24510150702,Walbrook, Baltimore, MD,0.0357
24510120600,Old Goucher, Baltimore, MD,0.035
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.035
24510270805,Mid-Govans, Baltimore, MD,0.0347
24510150600,NW Community Action, Baltimore, MD,0.0346
24510230200,South Baltimore, Baltimore, MD,0.0339
24510080302,Berea, Baltimore, MD,0.0334
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.0329
24510090500,Better Waverly, Baltimore, MD,0.0328
24510010100,Canton, Baltimore, MD,0.0324
24510260700,Fifteenth Street, Baltimore, MD,0.0323
24510230300,South Baltimore, Baltimore, MD,0.0321
24510280200,Gwynn Oak, Baltimore, MD,0.0311
24510151000,Dorchester, Baltimore, MD,0.031
24510280500,Pleasant View Gardens, Baltimore, MD,0.0308
24510250301,Westport, Baltimore, MD,0.0304
24510030200,Little Italy, Baltimore, MD,0.0303
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.0301
24510090400,Better Waverly, Baltimore, MD,0.0301
24510260403,Cedonia, Baltimore, MD,0.0301
24510270803,Loch Raven, Baltimore, MD,0.0298
24510090900,Oliver, Baltimore, MD,0.0297
24510130200,Reservoir Hill, Baltimore, MD,0.0295
24510120400,Barclay, Baltimore, MD,0.0294
24510271801,Arlington, Baltimore, MD,0.0292
24510271600,Edgecomb, Baltimore, MD,0.0289
24510080301,Berea, Baltimore, MD,0.0273
24510080200,Broadway East, Baltimore, MD,0.0271
24510260201,Frankford, Baltimore, MD,0.0268
24510200500,Mill Hill, Baltimore, MD,0.0261
24510250500,Curtis Bay, Baltimore, MD,0.0259
