tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_p75
11001003200,Northwest Washington, Washington, DC,0.0049
11001000300,Northwest Washington, Washington, DC,0.0046
11001001804,Brightwood, Washington, DC,0.0046
11001007604,Southeast Washington, Washington, DC,0.0045
11001005800,Northwest Washington, Washington, DC,0.0041
11001000502,Northwest Washington, Washington, DC,0.0039
11001005600,Northwest Washington, Washington, DC,0.0038
11001004100,Northwest Washington, Washington, DC,0.0035
11001000701,Cathedral Heights, Washington, DC,0.0031
11001007409,Southeast Washington, Washington, DC,0.0029
11001000901,Northwest Washington, Washington, DC,0.0026
11001008402,Northeast Washington, Washington, DC,0.0022
11001010100,Downtown, Washington, DC,0.0021
11001005201,Downtown, Washington, DC,0.0021
11001002101,Brightwood Park, Washington, DC,0.0018
11001007000,Southeast Washington, Washington, DC,0.0017
11001005301,Northwest Washington, Washington, DC,0.0016
11001000600,Northwest Washington, Washington, DC,0.0014
11001007301,Southwest Washington, Washington, DC,0.0011
11001001100,Northwest Washington, Washington, DC,0.0006
11001001200,Northwest Washington, Washington, DC,0.0006
11001002702,Mount Pleasant, Washington, DC,0.0005
11001001001,American University Park, Washington, DC,0.0004
11001001002,Cathedral Heights, Washington, DC,0.0002
11001010800,Northwest Washington, Washington, DC,0
11001008301,Northeast Washington, Washington, DC,0
11001007504,Historic Anacostia, Washington, DC,0
11001009301,Northeast Washington, Washington, DC,0
11001000801,Northwest Washington, Washington, DC,0
11001008410,Northeast Washington, Washington, DC,0
11001002002,16th Street Heights, Washington, DC,0
11001004902,Downtown, Washington, DC,0
11001000202,Georgetown, Washington, DC,0
11001003900,Lanier Heights, Washington, DC,0
11001001500,Northwest Washington, Washington, DC,0
11001004702,Northwest Washington, Washington, DC,0
11001003700,Northwest Washington, Washington, DC,0
11001004001,Adams Morgan, Washington, DC,0
11001009000,Fort Lincoln, Washington, DC,0
11001002801,Columbia Heights, Washington, DC,0
11001004002,Adams Morgan, Washington, DC,0
11001007403,Shipley, Washington, DC,0
11001002701,Northwest Washington, Washington, DC,0
11001009204,Edgewood, Washington, DC,0
11001004300,Northwest Washington, Washington, DC,0
11001008200,Northeast Washington, Washington, DC,0
