tract,Neighborhood,City,State,Incarceration_Rate_rP_gP_p50
24510270301,Lauraville, Baltimore, MD,0.0218
24005401507,Windsor Mill, Baltimore, MD,0.0215
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0215
24510260101,Cedmont, Baltimore, MD,0.0212
24510151100,East Arlington, Baltimore, MD,0.0204
24510120300,Harwood, Baltimore, MD,0.0202
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0198
24005401506,Windsor Mill, Baltimore, MD,0.0197
24510270101,Arcadia, Baltimore, MD,0.0196
24005403202,Gwynn Oak, Baltimore, MD,0.0196
24510080101,Belair - Edison, Baltimore, MD,0.0194
24510270804,Lake Walker, Baltimore, MD,0.0191
24510280404,Irvington, Baltimore, MD,0.0185
24510260501,Joseph Lee, Baltimore, MD,0.0184
24510210200,Pigtown, Baltimore, MD,0.0179
24510010200,Patterson Park, Baltimore, MD,0.0175
24510270401,Glenham-Belford, Baltimore, MD,0.0168
24003750201,Brooklyn, Baltimore, MD,0.0162
24510270200,Lauraville, Baltimore, MD,0.0161
24510130600,Hampden, Baltimore, MD,0.0161
24510150400,Mondawmin, Baltimore, MD,0.016
24510080600,Broadway East, Baltimore, MD,0.0158
24510250401,Brooklyn, Baltimore, MD,0.0154
24510250402,Brooklyn, Baltimore, MD,0.0151
24510250103,Violetville, Baltimore, MD,0.015
24510270402,Glenham-Belford, Baltimore, MD,0.0148
24510280101,Reisterstown Station, Baltimore, MD,0.0145
24005402403,Gwynn Oak, Baltimore, MD,0.0144
24510272004,Cheswolde, Baltimore, MD,0.0141
24510270502,North Harford Road, Baltimore, MD,0.014
24510270801,Idlewood, Baltimore, MD,0.0136
24510030100,Perkins Homes, Baltimore, MD,0.0134
24510261000,Patterson Park, Baltimore, MD,0.0127
24510280403,Westgate, Baltimore, MD,0.0122
24510040100,Downtown, Baltimore, MD,0.012
24510272007,Fallstaff, Baltimore, MD,0.0119
24510150500,Burleith-Leighton, Baltimore, MD,0.0119
24510120700,Remington, Baltimore, MD,0.0115
24510110200,Downtown, Baltimore, MD,0.0114
24510160400,Midtown Edmondson, Baltimore, MD,0.0111
24510270703,North Harford Road, Baltimore, MD,0.0109
24510271802,Langston Hughes, Baltimore, MD,0.0108
24510010500,Upper Fells Point, Baltimore, MD,0.0102
24510250203,Cherry Hill, Baltimore, MD,0.0101
24510250206,Morrell Park, Baltimore, MD,0.0096
24510271101,Radnor - Winston, Baltimore, MD,0.0091
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0085
24510260401,Armistead Gardens, Baltimore, MD,0.0083
24510150800,Garwyn Oaks, Baltimore, MD,0.008
24510070300,Milton - Montford, Baltimore, MD,0.0073
24510260605,Medford - Broening, Baltimore, MD,0.0073
24510160300,Sandtown-Winchester, Baltimore, MD,0.0066
24510020200,Upper Fells Point, Baltimore, MD,0.0063
24510130803,Medfield, Baltimore, MD,0.0056
24510010300,Canton, Baltimore, MD,0.0049
24510271300,Roland Park, Baltimore, MD,0.0045
24510270302,Waltherson, Baltimore, MD,0.0043
24510240200,Riverside, Baltimore, MD,0.0043
24510272005,Cross Country, Baltimore, MD,0.0042
24510130804,Hampden, Baltimore, MD,0.0039
24510271200,Homeland, Baltimore, MD,0.0029
24510260800,Baltimore Highlands, Baltimore, MD,0.0008
24510272006,Glen, Baltimore, MD,0.0002
24510260303,Claremont - Freedom, Baltimore, MD,0
24510020300,Fells Point, Baltimore, MD,0
24510210100,Pigtown, Baltimore, MD,0
24510130700,Hampden, Baltimore, MD,0
24510261100,Canton, Baltimore, MD,0
24510120100,Tuscany - Canterbury, Baltimore, MD,0
24510200701,Allendale, Baltimore, MD,0
24510040200,Downtown, Baltimore, MD,0
24510271501,Mount Washington, Baltimore, MD,0
24510130805,Cold Springs, Baltimore, MD,0
24510271102,Mid-Charles, Baltimore, MD,0
